DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;PERIODO_AGRICOLA;CULTIVO;SUPERFICIE_VERDE;SIEMBRA;COSECHA;RENDIMIENTO;PRODUCCION;PRECIO_CHACRA;SUPERFICIE_PERDIDA;VALOR_PRODUCCION;FECHA_CORTE
CUSCO;CALCA;LAMAY;080403;2020;CHOCHO O TARHUI GRANO SECO;17.2307692307692;18;18;2277.777;41;1.8;NULL;73.8;20230810
CUSCO;CALCA;LAMAY;080403;2020;HABA GRANO SECO;26.3846153846154;28;28;2178.571;61;1.6;NULL;97.6;20230810
CUSCO;CALCA;LAMAY;080403;2020;HABA GRANO VERDE;4.1;4;3;6000;18;1.8;NULL;32.4;20230810
CUSCO;CALCA;LAMAY;080403;2020;MAIZ AMILACEO;243.533333333333;275;280;4142.857;1160;3.879;NULL;4499.64;20230810
CUSCO;CALCA;LAMAY;080403;2020;MAIZ CHOCLO;17.8181818181818;17;20;17000;340;0.3;NULL;102;20230810
CUSCO;CALCA;LAMAY;080403;2020;MASHUA O IZANO;14.4166666666667;13;13;5538.461;72;0.9;NULL;64.8;20230810
CUSCO;CALCA;LAMAY;080403;2020;OCA;20.3333333333333;17;17;7000;119;1.1;NULL;130.9;20230810
CUSCO;CALCA;LAMAY;080403;2020;OLLUCO;30.9230769230769;32;32;6000;192;1.4;NULL;268.8;20230810
CUSCO;CALCA;LAMAY;080403;2020;PAPA (agrupa mejoradas y nativas);212.133333333333;277;276;11054.347;3051;1.35;NULL;4118.85;20230810
CUSCO;CALCA;LAMAY;080403;2020;QUINUA;22.8;23;23;2521.739;58;3;NULL;174;20230810
CUSCO;CALCA;LAMAY;080403;2020;TRIGO BLANDO;19.9090909090909;25;25;2000;50;1.6;NULL;80;20230810
CUSCO;CALCA;LAMAY;080403;2020;ZANAHORIA;3;5;2;15250;30.5;0.7;NULL;21.35;20230810
CUSCO;CALCA;LARES;080404;2020;CEBADA  FORRAJERA;NULL;NULL;1;15000;15;0.45;NULL;6.75;20230810
CUSCO;CALCA;LARES;080404;2020;CHOCHO O TARHUI GRANO SECO;18;28;28;2142.857;60;2.2;NULL;132;20230810
CUSCO;CALCA;LARES;080404;2020;HABA GRANO SECO;49.3076923076923;60;60;2600;156;1.5;NULL;234;20230810
CUSCO;CALCA;LARES;080404;2020;MAIZ AMARILLO DURO;58.75;40;40;3000;120;2.825;NULL;339;20230810
CUSCO;CALCA;LARES;080404;2020;MAIZ AMILACEO;92.5714285714286;109;109;2504.587;273;2.5;NULL;682.5;20230810
CUSCO;CALCA;LARES;080404;2020;MASHUA O IZANO;17.0833333333333;15;15;6000;90;1;NULL;90;20230810
CUSCO;CALCA;LARES;080404;2020;OCA;30.8333333333333;30;30;5000;150;1.2;NULL;180;20230810
CUSCO;CALCA;LARES;080404;2020;OLLUCO;57.2307692307692;57;60;6000;360;1.52;NULL;547.2;20230810
CUSCO;CALCA;LARES;080404;2020;PAPA (agrupa mejoradas y nativas);310;360;360;12463.888;4487;1.412;NULL;6335.644;20230810
CUSCO;CALCA;LARES;080404;2020;YUCA;15.2307692307692;14;20;13500;270;1.23;NULL;332.1;20230810
CUSCO;CALCA;LARES;080404;2020;ZANAHORIA;1.66666666666667;2;3;15000;45;0.6;NULL;27;20230810
CUSCO;CALCA;PISAC;080405;2020;ALFALFA;28;NULL;28;63428.571;1776;0.45;NULL;799.2;20230810
CUSCO;CALCA;PISAC;080405;2020;ARVEJA GRANO SECO;30.9;35;35;2200;77;1.6;NULL;123.2;20230810
CUSCO;CALCA;PISAC;080405;2020;ARVEJA GRANO VERDE;3.5;2;1;5000;5;2;NULL;10;20230810
CUSCO;CALCA;PISAC;080405;2020;AVENA FORRAJERA;14.9;17;17;20000;340;0.5;NULL;170;20230810
CUSCO;CALCA;PISAC;080405;2020;CEBADA  FORRAJERA;8.92857142857143;8;8;15000;120;0.294;NULL;35.28;20230810
CUSCO;CALCA;PISAC;080405;2020;CEBADA GRANO;48.3636363636364;62;62;2500;155;1.3;NULL;201.5;20230810
CUSCO;CALCA;PISAC;080405;2020;CHOCHO O TARHUI GRANO SECO;39.2142857142857;50;50;2400;120;1.8;NULL;216;20230810
CUSCO;CALCA;PISAC;080405;2020;HABA GRANO SECO;65.5384615384615;75;75;2506.666;188;1.6;NULL;300.8;20230810
CUSCO;CALCA;PISAC;080405;2020;HABA GRANO VERDE;2.8;3;2;6000;12;1.8;NULL;21.6;20230810
CUSCO;CALCA;PISAC;080405;2020;MAIZ AMILACEO;218.333333333333;273;273;4578.754;1250;3.784;NULL;4730;20230810
CUSCO;CALCA;PISAC;080405;2020;MAIZ CHOCLO;26.1818181818182;8;10;17000;170;0.35;NULL;59.5;20230810
CUSCO;CALCA;PISAC;080405;2020;MASHUA O IZANO;15.8333333333333;12;12;6000;72;0.9;NULL;64.8;20230810
CUSCO;CALCA;PISAC;080405;2020;NUNA GRANO SECO;10;NULL;NULL;NULL;NULL;NULL;NULL;0;20230810
CUSCO;CALCA;PISAC;080405;2020;OCA;20.7692307692308;18;18;6000;108;1.2;NULL;129.6;20230810
CUSCO;CALCA;PISAC;080405;2020;OLLUCO;31.3076923076923;36;36;6000;216;1.261;NULL;272.376;20230810
CUSCO;CALCA;PISAC;080405;2020;PAPA (agrupa mejoradas y nativas);171.2;232;233;10042.918;2340;1.393;NULL;3259.62;20230810
CUSCO;CALCA;PISAC;080405;2020;QUINUA;32;35;35;2314.285;81;3;NULL;243;20230810
CUSCO;CALCA;PISAC;080405;2020;TRIGO BLANDO;16.6;18;18;2000;36;1.6;NULL;57.6;20230810
CUSCO;CALCA;SAN SALVADOR;080406;2020;ACHITA, KIWICHA, O AMARANTO;33.8333333333333;48;48;2312.5;111;4;NULL;444;20230810
